ticker,period,weighted_score,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
AAPL,2026-03-28,0.0874,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,neutral,neutral,neutral
MSFT,2026-03-31,0.1716,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
NVDA,2026-04-26,0.1095,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
TSLA,2026-03-31,0.3205,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive
NFLX,2026-06-30,0.0714,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
JPM,2026-03-31,-0.0017,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
COST,2026-05-10,0.0381,positive,positive,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
KO,2026-04-03,0.0788,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,positive,neutral,neutral,neutral,neutral,neutral
